pool_id,ticker,name,stake_lovelace,stake_ada,relay_hostname,relay_ip,latitude,longitude,city,country
pool17rjst78s67lvellg8s586rf076jxa3wnsdz730f4xk2zwuhrtej,NORTH,#2 Nordic Pool,73336142507334,73336142.507334000000,Relay3.NordicPool.org,"","","","",""
pool17rjst78s67lvellg8s586rf076jxa3wnsdz730f4xk2zwuhrtej,NORTH,#2 Nordic Pool,73336142507334,73336142.507334000000,Relay2.NordicPool.org,"","","","",""
pool1nqheyct9a0mxn80cwp9pd5guncfu3rzwqtmru0l94accz7gjcgl,CAG,Cardano AG Pool - Private,73066604268269,73066604.268269000000,relay1.mainnet.pool.cardano.services,"","","","",""
pool1nqheyct9a0mxn80cwp9pd5guncfu3rzwqtmru0l94accz7gjcgl,CAG,Cardano AG Pool - Private,73066604268269,73066604.268269000000,relay2.mainnet.pool.cardano.services,"","","","",""
pool1zgjk3dzwcwd02juqntuzknr368hvxjxy8l8uzkxvgu4252d7ekf,"","",72777021947970,72777021.947970000000,violet-kingston-8d67e.cardano.bdnodes.net,"","","","",""
pool1zgjk3dzwcwd02juqntuzknr368hvxjxy8l8uzkxvgu4252d7ekf,"","",72777021947970,72777021.947970000000,olive-geonosis-edffc.cardano.bdnodes.net,"","","","",""
pool18ufrgfgmslekdxnk9v9345qvhrr7vfgzkvneqtwm7unnwaht6ww,OGAM,Ogam_Pool,72380917938902,72380917.938902000000,"",217.155.18.115,"","","",""
pool18ufrgfgmslekdxnk9v9345qvhrr7vfgzkvneqtwm7unnwaht6ww,OGAM,Ogam_Pool,72380917938902,72380917.938902000000,"",95.154.235.142,"","","",""
pool18ufrgfgmslekdxnk9v9345qvhrr7vfgzkvneqtwm7unnwaht6ww,OGAM,Ogam_Pool,72380917938902,72380917.938902000000,"",217.155.18.115,"","","",""
pool1l0m820vyqh5pp2yzpw973qzz23neqqd977u0uczh9fs9zqvg0je,WPBJ2,WPBJ,72094981575829,72094981.575829000000,relays.wavepool.digital,"","","","",""
pool1ahazpr2yz5gljk2m4q8g7wnmq7m2sr9unhdfmr5arhqrjnntwdz,ADV3,ADAvault Stake Pool 3,71830104664847,71830104.664847000000,gateway.adavault.com,"","","","",""
pool1ahazpr2yz5gljk2m4q8g7wnmq7m2sr9unhdfmr5arhqrjnntwdz,ADV3,ADAvault Stake Pool 3,71830104664847,71830104.664847000000,gateway.adavault.com,"","","","",""
pool1ahazpr2yz5gljk2m4q8g7wnmq7m2sr9unhdfmr5arhqrjnntwdz,ADV3,ADAvault Stake Pool 3,71830104664847,71830104.664847000000,gateway.adavault.com,"","","","",""
pool1ahazpr2yz5gljk2m4q8g7wnmq7m2sr9unhdfmr5arhqrjnntwdz,ADV3,ADAvault Stake Pool 3,71830104664847,71830104.664847000000,gateway.adavault.com,"","","","",""
pool1yh7ksvg54nger73ldnf22cgwyh0dnm4aerahdd0kdukjqeacy32,N/A,n/a,71587256739107,71587256.739107000000,94c3c6d3.cardano-relay.herd.run,"","","","",""
pool1vx9tzlkgafernd9vpjpxkenutx2gncj4yn88fpq69823qlwcqrt,CRDNS,CARDANIANS.io,71344790372119,71344790.372119000000,ca.relays.cardanians.io,"","","","",""
pool1vx9tzlkgafernd9vpjpxkenutx2gncj4yn88fpq69823qlwcqrt,CRDNS,CARDANIANS.io,71344790372119,71344790.372119000000,eu.relays.cardanians.io,"","","","",""
pool15cy4p3axu0m6sfrmxsp46z5cevx3ruksfwjl48730cgx24j4ydz,TECH,Tech pool,71068956519567,71068956.519567000000,relay1.cardanotech.io,"","","","",""
pool15cy4p3axu0m6sfrmxsp46z5cevx3ruksfwjl48730cgx24j4ydz,TECH,Tech pool,71068956519567,71068956.519567000000,relay2.cardanotech.io,"","","","",""
pool13c9mnvfx4nvwvkszxcprwlv60fh3tteef50hhhv9yxptsua2v70,DARK,dark-private,71037341475574,71037341.475574000000,"",46.101.9.225,"","","",""
pool13c9mnvfx4nvwvkszxcprwlv60fh3tteef50hhhv9yxptsua2v70,DARK,dark-private,71037341475574,71037341.475574000000,"",64.227.46.95,"","","",""
pool197na7w0h8hjc8wdvwys7nsalhtpctefa3m23udeqxpfk6nzq8l9,N/A,n/a,70935421590763,70935421.590763000000,26e894b1.cardano-relay.herd.run,"","","","",""
pool1fcp4d2pxh0e7q5ju63sjqcdpxpr3pvxg6ykl23t6c97d7dnvjvw,KILN1,Kiln,70680621953044,70680621.953044000000,relay-kiln-1-0.cardano.mainnet.kiln.fi,"","","","",""
pool1fcp4d2pxh0e7q5ju63sjqcdpxpr3pvxg6ykl23t6c97d7dnvjvw,KILN1,Kiln,70680621953044,70680621.953044000000,relay-kiln-1-1.cardano.mainnet.kiln.fi,"","","","",""
